episode,return,steps,epsilon,end_reason,states_visited
1,-222.14,600,1.0,timeout,13
2,-78.83,600,0.9995,timeout,16
3,-84.81,600,0.9989,timeout,16
4,-51.7,600,0.9984,timeout,21
5,-459.53,600,0.9978,timeout,24
6,-135.23,403,0.9973,enemy,26
7,-46.24,600,0.9967,timeout,27
8,-525.38,600,0.9962,timeout,53
9,-229.59,600,0.9956,timeout,53
10,-58.75,600,0.9951,timeout,53
11,-64.01,600,0.9946,timeout,53
12,-83.79,600,0.994,timeout,53
13,-136.93,600,0.9935,timeout,53
14,-100.04,600,0.9929,timeout,53
15,-206.6,600,0.9924,timeout,53
16,-61.23,600,0.9918,timeout,54
17,-58.9,600,0.9913,timeout,57
18,-186.6,600,0.9907,timeout,57
19,-61.22,600,0.9902,timeout,59
20,-227.43,467,0.9897,enemy,65
21,-82.52,600,0.9891,timeout,65
22,-82.21,600,0.9886,timeout,65
23,-54.17,600,0.988,timeout,65
24,-169.86,600,0.9875,timeout,65
25,-210.72,600,0.9869,timeout,73
26,-88.77,600,0.9864,timeout,73
27,-60.14,600,0.9858,timeout,74
28,-127.3,600,0.9853,timeout,74
29,-80.32,600,0.9848,timeout,74
30,-68.91,600,0.9842,timeout,74
31,-57.52,600,0.9837,timeout,74
32,-66.4,600,0.9831,timeout,74
33,-51.97,600,0.9826,timeout,74
34,-83.56,600,0.982,timeout,74
35,-84.53,600,0.9815,timeout,74
36,-85.79,600,0.9809,timeout,74
37,-271.71,600,0.9804,timeout,74
38,-84.94,600,0.9799,timeout,74
39,-73.14,600,0.9793,timeout,74
40,-87.52,600,0.9788,timeout,74
41,-86.24,600,0.9782,timeout,74
42,-87.46,600,0.9777,timeout,74
43,-87.55,600,0.9771,timeout,74
44,-84.51,600,0.9766,timeout,74
45,-80.27,600,0.976,timeout,74
46,-85.57,600,0.9755,timeout,74
47,-477.09,600,0.975,timeout,74
48,-40.01,600,0.9744,timeout,76
49,-593.27,600,0.9739,timeout,76
50,-766.34,600,0.9733,timeout,88
