episode,return,steps,epsilon,end_reason
1,-111.31,122,1.0,enemy
2,-111.09,600,0.9995,timeout
3,-109.4,600,0.9989,timeout
4,-59.05,600,0.9984,timeout
5,-113.21,600,0.9978,timeout
6,-57.53,600,0.9973,timeout
7,-156.21,600,0.9967,timeout
8,-69.09,600,0.9962,timeout
9,-198.83,600,0.9956,timeout
10,-201.76,600,0.9951,timeout
11,-451.69,600,0.9946,timeout
12,-85.76,600,0.994,timeout
13,-469.23,600,0.9935,timeout
14,-122.31,600,0.9929,timeout
15,-62.25,600,0.9924,timeout
16,-136.93,237,0.9918,enemy
17,-188.72,600,0.9913,timeout
18,-162.41,600,0.9907,timeout
19,-180.22,600,0.9902,timeout
20,-74.11,600,0.9897,timeout
21,-82.95,600,0.9891,timeout
22,-154.17,600,0.9886,timeout
23,-475.73,600,0.988,timeout
24,-213.25,600,0.9875,timeout
25,-79.11,600,0.9869,timeout
26,-68.69,600,0.9864,timeout
27,-68.11,600,0.9858,timeout
28,-144.02,400,0.9853,enemy
29,-100.1,1,0.9848,enemy
30,-61.74,600,0.9842,timeout
31,-95.99,600,0.9837,timeout
32,-217.17,600,0.9831,timeout
33,-74.52,600,0.9826,timeout
34,-44.76,600,0.982,timeout
35,-121.63,248,0.9815,enemy
36,-107.77,582,0.9809,enemy
37,-79.94,600,0.9804,timeout
38,-80.61,600,0.9799,timeout
39,-118.56,234,0.9793,enemy
40,-216.2,600,0.9788,timeout
41,-64.2,600,0.9782,timeout
42,-117.97,600,0.9777,timeout
43,-70.99,600,0.9771,timeout
44,-229.85,600,0.9766,timeout
45,-52.08,600,0.976,timeout
46,-65.1,600,0.9755,timeout
47,-107.11,432,0.975,enemy
48,-55.07,600,0.9744,timeout
49,-113.54,600,0.9739,timeout
50,-213.65,600,0.9733,timeout
51,-391.43,600,0.9728,timeout
52,-119.11,600,0.9722,enemy
53,-100.1,1,0.9717,enemy
54,-174.17,600,0.9711,timeout
55,-106.71,600,0.9706,timeout
56,-86.92,600,0.9701,timeout
57,-315.43,600,0.9695,timeout
58,-82.12,600,0.969,timeout
59,-113.13,600,0.9684,timeout
60,-146.09,287,0.9679,enemy
61,-104.68,600,0.9673,timeout
62,-153.54,600,0.9668,timeout
63,-286.04,600,0.9662,timeout
64,-34.85,600,0.9657,timeout
65,-94.49,358,0.9652,enemy
66,-128.71,600,0.9646,timeout
67,-81.44,290,0.9641,enemy
68,-80.63,288,0.9635,enemy
69,-79.97,600,0.963,timeout
70,-458.89,600,0.9624,timeout
71,-87.99,600,0.9619,timeout
72,-59.39,600,0.9613,timeout
73,-75.55,186,0.9608,enemy
74,-116.86,163,0.9603,enemy
75,-62.91,600,0.9597,timeout
76,-81.88,600,0.9592,timeout
77,-143.43,410,0.9586,enemy
78,-402.25,600,0.9581,timeout
79,-82.84,600,0.9575,timeout
80,-88.24,600,0.957,timeout
